Location	Coarse	Coarse.1stMention	Region	Decade	Freq	N	E
Невская застава. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1921	1	59.95	30.316667
Невский проспект, 18. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1911	1	59.95	30.316667
Ольгино. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1891	2	59.95	30.316667
Ордынка. IN: Москва. Комарово. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1961	1	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1801	1	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1821	10	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1831	8	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1841	5	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1851	13	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1881	8	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1891	34	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1901	32	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1911	53	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1921	35	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1931	8	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1941	17	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1951	11	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	1961	4	59.95	30.316667
Петербург	Петербург	Петербург	Санкт-Петербург	2_decades	3	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1821	2	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1851	3	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1861	10	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1871	14	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1881	12	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1891	6	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1901	11	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1911	42	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1921	2	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	1931	1	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	2_decades	1	59.95	30.316667
Петербург (from date)	Петербург	Петербург	Санкт-Петербург	3_decades	1	59.95	30.316667
Петергоф. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1831	2	59.95	30.316667
Смоленское кладбище. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1921	1	59.95	30.316667
Старая Деревня. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1901	1	59.95	30.316667
Троицкий мост. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1911	2	59.95	30.316667
Удельная, станция. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1901	1	59.95	30.316667
улица Чайковского. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1921	1	59.95	30.316667
Фонтанка. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1921	1	59.95	30.316667
Комарово. IN: Петербург. Москва	Петербург. Москва	Петербург	Санкт-Петербург	1951	1	59.95	30.316667
Петербург. Кострома	Петербург. Кострома	Петербург	Санкт-Петербург	1911	1	59.95	30.316667
Петербург. Москва	Петербург. Москва	Петербург	Санкт-Петербург	1901	1	59.95	30.316667
Петербург. Ташкент	Петербург. Ташкент	Петербург	Санкт-Петербург	1941	1	59.95	30.316667
Петербург. Ташкент	Петербург. Ташкент	Петербург	Санкт-Петербург	2_decades	1	59.95	30.316667
набережная реки Фонтанки, 34. IN: Петербург. Пушкин	Петербург. Пушкин	Петербург	Санкт-Петербург	1941	1	59.95	30.316667
набережная реки Фонтанки, 34. Кавалергардская улица. IN: Петербург	Петербург	Петербург	Санкт-Петербург	1931	1	59.95	30.316667
Царское Село (from date)	Царское Село	Царское Село	Санкт-Петербург	1811	1	59.71628	30.3897067
Царское Село (from date)	Царское Село	Царское Село	Санкт-Петербург	1861	1	59.71628	30.3897067
Царское Село (from date)	Царское Село	Царское Село	Санкт-Петербург	1871	1	59.71628	30.3897067
Павловск	Павловск	Павловск	Санкт-Петербург	1881	3	59.686039	30.430574
Павловск	Павловск	Павловск	Санкт-Петербург	1901	2	59.686039	30.430574
Павловск	Павловск	Павловск	Санкт-Петербург	1941	1	59.686039	30.430574
Пушкин	Пушкин	Пушкин	Санкт-Петербург	1901	1	59.7126721	30.3715963
Пушкин	Пушкин	Пушкин	Санкт-Петербург	1881	2	59.7126721	30.3715963
Пушкин	Пушкин	Пушкин	Санкт-Петербург	1901	18	59.7126721	30.3715963
Пушкин	Пушкин	Пушкин	Санкт-Петербург	1911	60	59.7126721	30.3715963
Пушкин	Пушкин	Пушкин	Санкт-Петербург	1921	13	59.7126721	30.3715963
Пушкин	Пушкин	Пушкин	Санкт-Петербург	1931	4	59.7126721	30.3715963
Пушкин	Пушкин	Пушкин	Санкт-Петербург	2_decades	3	59.7126721	30.3715963
Дарница. IN: Киев	Киев	Киев	Украина, Киев	1911	2	50.4289911	30.6370573
Демиевка. IN: Киев	Киев	Киев	Украина, Киев	1911	1	50.4005151	30.4966949
Киев	Киев	Киев	Украина, Киев	1871	2	50.450091	30.523415
Киев	Киев	Киев	Украина, Киев	1891	1	50.450091	30.523415
Киев	Киев	Киев	Украина, Киев	1901	19	50.450091	30.523415
Киев	Киев	Киев	Украина, Киев	1911	16	50.450091	30.523415
Киев (from date)	Киев	Киев	Украина, Киев	1891	1	50.450091	30.523415
Киев (from date)	Киев	Киев	Украина, Киев	1901	12	50.450091	30.523415
Печерск. IN: Киев	Киев	Киев	Украина, Киев	1921	1	50.450091	30.523415
Буда-Кошелево. Уза	Буда-Кошелево. Уза	Буда-Кошелево	Белоруссия	1911	1	52.7218712	30.5316902
Саблино. IN: Ульяновка, Ленинградская область	Саблино	Саблино	Санкт-Петербург	1901	1	59.6415022	30.7002484
Саблино. IN: Ульяновка, Ленинградская область	Саблино	Саблино	Санкт-Петербург	1921	2	59.6415022	30.7002484
Саблино. IN: Ульяновка, Ленинградская область. Петербург	Саблино	Саблино	Санкт-Петербург	1921	1	59.6415022	30.7002484
Одесса	Одесса	Одесса	Украина, Одесса	1821	7	46.486111	30.727778
Одесса	Одесса	Одесса	Украина, Одесса	1901	1	46.486111	30.727778
Одесса	Одесса	Одесса	Украина, Одесса	1911	3	46.486111	30.727778
Одесса	Одесса	Одесса	Украина, Одесса	1921	1	46.486111	30.727778
Одесса	Одесса	Одесса	Украина, Одесса	1951	3	46.486111	30.727778
Одесса. Яссы	Одесса. Яссы	Одесса	Одесса	1911	1	46.486111	30.727778
Дофиновка. IN: Одесская область	Одесская область	Одесская область	Одесса	1851	1	46.5728312	30.8936216
Бровары	Бровары	Бровары	Украина, Киев	1911	1	50.51444	30.537286
Гомель	Гомель	Гомель	Белоруссия, Гомель	1941	1	52.441667	30.983333
Новобелица. IN: Гомель	Гомель	Гомель	Белоруссия, Гомель	1911	1	52.441667	30.983333
Великий Новгород	Великий Новгород	Великий Новгород	Великий Новгород	1871	2	58.525	31.275
Великий Новгород	Великий Новгород	Великий Новгород	Великий Новгород	1881	1	58.525	31.275
Великий Новгород	Великий Новгород	Великий Новгород	Великий Новгород	1901	1	58.525	31.275
Хелуан. IN: Египет	Египет	Египет	Египет	1911	1	29.8380171	31.2924133
Старая Русса	Старая Русса	Старая Русса	Великий Новгород	1901	1	57.983333	31.35
Слепнево	Слепнево	Слепнево	Тверь	1911	51	56.807077	31.3524389
Слепнево	Слепнево	Слепнево	Тверь	2_decades	2	56.807077	31.3524389
Слепнево	Слепнево	Слепнево	Тверь	3_decades	1	56.807077	31.3524389
Слепнево (from date)	Слепнево	Слепнево	Тверь	1911	1	56.807077	31.3524389
Николаев	Николаев	Николаев	Украина, Николаев	1911	1	46.975033	31.994577
Волма. IN: Станция Торбино, Новгородская область	Волма	Волма	Великий Новгород	1911	1	58.4485805	32.721869
Глушино	Глушино	Глушино	Великий Новгород	1921	4	58.50667	32.77361
Обуховы	Обуховы	Обуховка	Украина, Полтава	1811	1	48.2817379	32.8064988
Смоленская область	Смоленская область	Смоленская область	Смоленск	1901	1	55	33
Нило-Столобенская пустынь	Нило-Столобенская пустынь	Нило-Столобенская пустынь	Тверь	1911	1	57.234722	33.063611
Евпатория	Евпатория	Евпатория	Крым	1901	1	45.2	33.358333
Евпатория	Евпатория	Евпатория	Крым	1911	1	45.2	33.358333
Ромны	Ромны	Ромны	Украина, Сумы	1821	1	50.742813	33.487908
Ромны	Ромны	Ромны	Украина, Сумы	1911	2	50.742813	33.487908
Бобровка. IN: Тверская область	Бобровка	Бобровка	Тверь	1901	2	56.25417	33.49583
Севастополь	Севастополь	Севастополь	Крым	1901	1	44.6	33.533333
Севастополь	Севастополь	Севастополь	Крым	1911	9	44.6	33.533333
Балаклава	Балаклава	Балаклава	Крым	1891	1	44.5	33.6
Балаклава	Балаклава	Балаклава	Крым	1901	1	44.5	33.6
Фруктовое. IN: Нахимовский район, Севастополь, Крым	Бельбек. Севастополь	Бельбек	Крым	1911	1	44.68056	33.60417
Бахчисарай	Бахчисарай	Бахчисарай	Крым	1851	1	44.752778	33.860833
Великая Обуховка. IN: Полтавская область	Обуховка	Обуховка	Украина, Полтава	1811	9	50.1453911	33.9398504
Великая Обуховка. IN: Полтавская область	Обуховка	Обуховка	Украина, Полтава	1821	1	50.1453911	33.9398504
Симеиз. Васильсурск	Симеиз. Васильсурск	Симеиз	Крым	2_decades	1	44.4052581	33.9924072
Крым	Крым	Крым	Крым	1881	1	45.4	34
Крым	Крым	Крым	Крым	1891	1	45.4	34
Крым	Крым	Крым	Крым	1901	1	45.4	34
Крым	Крым	Крым	Крым	1911	1	45.4	34
Крым	Крым	Крым	Крым	1961	1	45.4	34
Масскандра. IN: Крым	Крым	Крым	Крым	1841	1	45.4	34
Черное море	Черное море	Черное море	Черное море	1881	2	43.2969	34.0294
Черное море	Черное море	Черное море	Черное море	1921	1	43.2969	34.0294
Симферололь	Симферололь	Симферололь	Крым	1921	1	44.9467765	34.0390016
Алупка	Алупка	Алупка	Крым	1821	1	44.419722	34.043056
Мисхор. IN: Кореиз	Кореиз	Кореиз	Крым	1911	1	44.416667	34.083333
Мисхор	Мисхор	Мисхор	Крым	1881	1	44.430556	34.0875
Медведево. IN: Бологовский район, Тверская область	Лидино	Лидино	Тверь	1901	44	57.8783715	34.1020244
Симферополь	Симферополь	Симферополь	Крым	1891	1	44.948056	34.104167
Симферополь	Симферополь	Симферополь	Крым	1901	1	44.948056	34.104167
Симферополь	Симферополь	Симферополь	Крым	1911	1	44.948056	34.104167
Симферополь	Симферополь	Симферополь	Крым	1921	25	44.948056	34.104167
Симферополь (from date)	Симферополь	Симферополь	Крым	1911	4	44.948056	34.104167
Симферополь (from date)	Симферополь	Симферополь	Крым	1921	2	44.948056	34.104167
Ореанда. IN: Ялта	Ялта	Ялта	Крым	1891	1	44.499444	34.155278
Ялта	Ялта	Ялта	Крым	1891	1	44.499444	34.155278
Ялта	Ялта	Ялта	Крым	1901	1	44.499444	34.155278
Ялта	Ялта	Ялта	Крым	1911	2	44.499444	34.155278
Ялта	Ялта	Ялта	Крым	1931	1	44.499444	34.155278
Придорожное	Придорожное	Придорожное	Крым	1941	4	45.79306	34.44028
Севск	Севск	Севск	Крым	1821	1	52.15	34.493889
Беломорск. Пермь	Беломорск. Пермь	Беломорск	Карелия	1941	1	64.5266132	34.702206
Сокологорное	Сокологорное	Сокологорное	Украина, Херсон	1911	1	46.4926	34.9731
Днепропетровск	Днепропетровск	Днепропетровск	Украина, Днепропетровск	1921	4	48.466601	35.018155
Судак	Судак	Судак	Крым	1901	5	44.8374	35.0275
Судак	Судак	Судак	Крым	1911	29	44.8374	35.0275
Судак	Судак	Судак	Крым	1921	18	44.8374	35.0275
Старый Крым	Старый Крым	Старый Крым	Крым	1931	1	45.029167	35.088611
Коктебель	Коктебель	Коктебель	Крым	1901	28	44.959722	35.240278
Коктебель	Коктебель	Коктебель	Крым	1911	72	44.959722	35.240278
Коктебель	Коктебель	Коктебель	Крым	1921	29	44.959722	35.240278
Коктебель	Коктебель	Коктебель	Крым	1931	3	44.959722	35.240278
Коктебель	Коктебель	Коктебель	Крым	2_decades	1	44.959722	35.240278
Коктебель (from date)	Коктебель	Коктебель	Крым	1901	3	44.959722	35.240278
Коктебель (from date)	Коктебель	Коктебель	Крым	1911	11	44.959722	35.240278
Коктебель (from date)	Коктебель	Коктебель	Крым	1921	14	44.959722	35.240278
Коктебель (from date)	Коктебель	Коктебель	Крым	1951	2	44.959722	35.240278
Богородицкое. IN: Хотынецкий район, Орловская область	Богородицкое	Богородицкое	Орел	1901	1	53.0585752	35.3432416
Феодосия	Феодосия	Феодосия	Крым	1921	6	45.048889	35.379167
Феодосия	Феодосия	Феодосия	Крым	2_decades	1	45.048889	35.379167
Белкино. IN: Калужская область	Калужская область	Калужская область	Калуга	1901	2	54.433333	35.433333
Покровское. IN: Болховский район, Орловская область	Покровское	Покровское	Орел	1861	1	53.3271124	35.6710978
Игино	Игино	Игино	Курск	1851	1	52.226022	35.708077
Александровское. IN: Болховский район, Орловская область	Александровское	Александровское	Орел	1851	1	53.5146516	35.8426477
Старое село	Старое село	Старое село	Москва	1901	2	55.5634858	35.8429513
Тверь	Тверь	Тверь	Тверь	1831	1	56.857828	35.921928
Тверь. Москва	Тверь. Москва	Тверь	Тверь	1911	1	56.857828	35.921928
Орел	Орел	Орел	Орел	1851	2	52.970143	36.063397
Орел	Орел	Орел	Орел	1901	1	52.970143	36.063397
Кишкинка. IN: Орловская губерния	Орловская губерния	Орловская губерния	Орел	1911	1	52.966667	36.083333
Старое Горохово?, Орловская область	Старое	Старое	Орел	1851	1	52.5487473	36.1442116
Верея	Верея	Верея	Москва	1901	1	55.333333	36.183333
Кудиново	Кудиново	Кудиново	Калуга	1911	4	54.9922399	36.2283924
Харьков	Харьков	Харьков	Украина, Харьков	1911	2	50	36.229167
Харьков	Харьков	Харьков	Украина, Харьков	1921	2	50	36.229167
Кривцово. IN: Орловская область	Кривцово	Кривцово	Орел	1911	3	53.4762656	36.2532924
Калуга	Калуга	Калуга	Калуга	1891	1	54.533333	36.266667
Пирожково. IN: Орловская область	Пирожково	Пирожково	Орел	1901	3	52.6437863	36.3028994
Пирожково. IN: Орловская область	Пирожково	Пирожково	Орел	1911	5	52.6437863	36.3028994
Трубицыно	Трубицыно	Трубицыно	Калуга	1901	1	54.9834671	36.3272098
Воробьевка. IN: Золотухинский район Курской области	Воробьевка	Воробьевка	Курск	1881	1	52.018657	36.372409
Керчь	Керчь	Керчь	Крым	1941	1	45.338611	36.468056
Аджимушкайские каменоломни	Аджимушкайские каменоломни	Аджимушкайские каменоломни	Крым	1941	1	45.380969	36.523447
Выропаевка. IN: Тульский уезд, Тула	Выропаевка	Выропаевка	Тула	1911	1	53.8171249	36.5674174
Выропаевка. IN: Тульский уезд, Тула	Выропаевка	Выропаевка	Тула	1911	8	53.8171249	36.5674174
Зыково. IN: Истринский район, Московская область	Зыково	Зыково	Москва	1841	1	56.0658835	36.6933803
Бежецк	Бежецк	Бежецк	Тверь	1921	1	57.783333	36.7
Бежецк. Петербург	Бежецк. Петербург	Бежецк	Тверь	1921	1	57.783333	36.7
Звенигород	Звенигород	Звенигород	Москва	1911	1	55.733333	36.85
Голицыно	Голицыно	Голицыно	Москва	1941	2	55.614722	36.987222
Голицыно	Голицыно	Голицыно	Москва	1951	1	55.614722	36.987222
Сенежское озеро	Сенежское озеро	Сенежское озеро	Москва	1911	1	56.2	37
Шахматово	Шахматово	Шахматово	Москва	1901	2	56.314722	37.051667
Шахматово	Шахматово	Шахматово	Москва	1961	1	56.314722	37.051667
Антоновка. IN: Тарусский район, Калужская область	Антоновка	Антоновка	Калуга	1901	2	54.6666309	37.0567404
Поварово. IN: Московская область	Поварово	Поварово	Москва	1911	2	56.073162	37.062054
Петровское	Петровское	Петровское	Москва	1901	11	55.9125468	37.0716258
Дедово	Дедово	Дедово	Москва	1901	14	55.9182865	37.0904714
Дедово	Дедово	Дедово	Москва	1911	15	55.9182865	37.0904714
Надовражино	Надовражино	Надовражино	Москва	1921	1	55.913611	37.113056
Крюково	Крюково	Крюково	Москва	1921	1	55.6467069	37.131956
Опалиха	Опалиха, Московская обл.	Опалиха	Москва	1911	3	55.8237128	37.2383689
Красная Пахра	Красная Пахра	Красная Пахра	Москва	1961	1	55.431468	37.27138
Переделкино	Переделкино	Переделкино	Москва	1941	2	55.655556	37.3325
Опалиха. IN: Красногорск	Красногорск	Красногорск	Москва	1911	2	55.816667	37.333333
Изумрудный Поселок. IN: Очаковская платформа Брянской ж. д.	Изумрудный Поселок	Изумрудный Поселок	Москва	1901	1	55.683556	37.45125
Подольск	Подольск	Подольск	Москва	1911	3	55.429722	37.544444
2-й Боткинский проезд. IN: Москва	Москва	Москва	Москва	1951	2	55.755833	37.617778
Арбат, 49. IN: Москва	Москва	Москва	Москва	1911	1	55.755833	37.617778
Арбат. IN: Москва	Москва	Москва	Москва	1901	1	55.755833	37.617778
Большая Садовая улица. IN: Москва	Москва	Москва	Москва	1911	2	55.755833	37.617778
Гиреево. IN: Москва	Москва	Москва	Москва	1901	7	55.755833	37.617778
Гоголевский бульвар. IN: Москва	Москва	Москва	Москва	1911	3	55.755833	37.617778
Кунцево. IN: Москва	Москва	Москва	Москва	1931	2	55.755833	37.617778
Кунцево. IN: Москва	Москва	Москва	Москва	1951	2	55.755833	37.617778
Лаврушинский переулок. IN: Москва	Москва	Москва	Москва	1961	1	55.755833	37.617778
Ленинградское шоссе, 19. IN: Москва	Москва	Москва	Москва	1951	1	55.755833	37.617778
Москва	Москва	Москва	Москва	1761	1	55.755833	37.617778
Москва	Москва	Москва	Москва	1821	4	55.755833	37.617778
Москва	Москва	Москва	Москва	1831	1	55.755833	37.617778
Москва	Москва	Москва	Москва	1841	7	55.755833	37.617778
Москва	Москва	Москва	Москва	1851	1	55.755833	37.617778
Москва	Москва	Москва	Москва	1861	3	55.755833	37.617778
Москва	Москва	Москва	Москва	1871	2	55.755833	37.617778
Москва	Москва	Москва	Москва	1881	3	55.755833	37.617778
Москва	Москва	Москва	Москва	1891	4	55.755833	37.617778
Москва	Москва	Москва	Москва	1901	115	55.755833	37.617778
Москва	Москва	Москва	Москва	1911	90	55.755833	37.617778
Москва	Москва	Москва	Москва	1921	32	55.755833	37.617778
Москва	Москва	Москва	Москва	1931	14	55.755833	37.617778
Москва	Москва	Москва	Москва	1941	10	55.755833	37.617778
Москва	Москва	Москва	Москва	1951	5	55.755833	37.617778
Москва	Москва	Москва	Москва	1961	8	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1821	1	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1831	1	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1841	6	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1851	1	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1871	1	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1881	25	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1891	2	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1901	85	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1911	67	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1921	33	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1931	15	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1941	15	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1951	8	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1961	3	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1971	9	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	1991	5	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	2_decades	3	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	3_decades	12	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	4_decades	10	55.755833	37.617778
Нащокинский переулок. IN: Москва	Москва	Москва	Москва	1931	1	55.755833	37.617778
Ордынка. IN: Москва	Москва	Москва	Москва	1951	4	55.755833	37.617778
Ордынка. IN: Москва	Москва	Москва	Москва	1961	3	55.755833	37.617778
Остоженка. IN: Москва	Москва	Москва	Москва	1951	1	55.755833	37.617778
Петровско-Разумовское. IN: Москва	Москва	Москва	Москва	1911	1	55.755833	37.617778
Сивцев Вражек. IN: Москва	Москва	Москва	Москва	1911	1	55.755833	37.617778
Узкое. IN: Москва	Москва	Москва	Москва	1921	2	55.755833	37.617778
Царицыно. IN: Москва	Москва	Москва	Москва	1861	1	55.755833	37.617778
Черемушки. IN: Москва	Москва	Москва	Москва	1921	1	55.755833	37.617778
Москва. Рига	Москва. Рига	Москва	Москва	1921	1	55.755833	37.617778
Лубянка. IN:Москва. Караганда	Москва. Караганда	Москва	Москва	2_decades	1	55.755833	37.617778
Бородино	Бородино	Бородино	Москва	1911	1	55.925117	37.661419
Серебряный колодезь	Серебряный колодезь	Серебряный колодезь	Орел	1901	1	53.0519505	37.6953128
Серебряный Колодезь. IN: Новодеревеньковский район, Орловская область	Серебряный Колодезь	Серебряный Колодезь	Орел	1901	38	53.0519634	37.6953128
Московская область	Московская область	Московская область	Москва	1911	1	55.628	37.738
Мураново. IN: Московская область	Московская область	Московская область	Москва	1921	2	55.628	37.738
Святые Горы. IN: Донецкая область	Донецкая область	Донецкая область	Украина, Донецк	1911	1	48.14	37.74
Новороссийск	Новороссийск	Новороссийск	Краснодар	1891	1	44.716667	37.766667
Болшево	Болшево	Болшево	Москва	1951	1	55.9333322	37.8412239
Бурково. IN: Королев, Московская область	Бурково	Бурково	Москва	1911	3	55.9287002	37.8844823
Череповец	Череповец	Череповец	Вологда	1811	1	59.116667	37.9
Кучино (from date)	Кучино	Кучино	Москва	1921	15	55.7539488	37.9474569
Кучино (from date)	Кучино	Кучино	Москва	1931	22	55.7539488	37.9474569
Томилино	Томилино	Томилино	Москва	1911	1	55.65	37.95
Васильевка. IN: Измалковский район, Липецкая область	Васильевка	Васильевка	Липецк	1911	1	52.7733297	37.9756594
Васильевка. IN: Измалковский район, Липецкая область	Васильевское	Васильевка	Липецк	1911	5	52.7733297	37.9756594
Геленджик	Геленджик	Геленджик	Краснодар	1901	2	44.560833	38.076667
Ефремов	Ефремов	Ефремов	Тула	1901	5	53.142816	38.116191
Ефремов	Ефремов	Ефремов	Тула	1911	1	53.142816	38.116191
Сергиев Посад	Сергиев Посад	Сергиев Посад	Москва	1911	1	56.3	38.133333
Прозоровка	Прозоровка	Прозоровка	Москва	1931	1	55.5919726	38.157733
Кратово (Прозоровка)	Кратово (Прозоровка)	Кратово (Прозоровка)	Москва	1931	1	55.597342	38.163479
Павловка. IN: 4 км южнее Вязового, Долгоруковский район, Липецкая область	Павловка	Павловка	Липецк	1881	10	52.37861	38.17306
Малевка	Малевка	Малевка	Тула	1901	1	53.6094733	38.2375017
Старки. IN: Московская область	Старки	Старки	Москва	1931	1	56.0566	38.3937
Старки, Московская область	Старки	Старки	Москва	1951	1	56.0566	38.3937
Старки. IN: Московская область. Москва	Старки. Москва	Старки	Москва	1951	1	56.0566	38.3937
Елец	Елец	Елец	Липецк	1851	1	52.616667	38.466667
Пальна. IN: Липецкая область	Пальна	Пальна	Липецк	1851	6	52.70889	38.57278
Коломна	Коломна	Коломна	Москва	1951	1	55.093889	38.768056
Рыбинск	Рыбинск	Рыбинск	Ярославль	1901	1	58.05	38.833333
Таганрог	Таганрог	Таганрог	Ростов-на-Дону	1841	1	47.239167	38.883333
Воронеж	Воронеж	Воронеж	Воронеж	1911	2	51.671667	39.210556
Ростов-на-Дону	Ростов-на-Дону	Ростов-на-Дону	Ростов-на-Дону	1911	1	47.2611557	39.4875706
Константиново	Константиново	Константиново	Рязань	1911	3	54.8618952	39.586837
Рязань	Рязань	Рязань	Рязань	1891	1	54.616667	39.716667
Рязань	Рязань	Рязань	Рязань	1931	2	54.616667	39.716667
Стенькино	Стенькино	Стенькино	Рязань	1881	2	54.538333	39.726389
Стенькино	Стенькино	Стенькино	Рязань	1891	19	54.538333	39.726389
Эртелево	Эртелево	Хутор Эртель	Воронеж	1931	2	51.8454475	39.7509798
Ярославль	Ярославль	Ярославль	Ярославль	1801	1	57.616667	39.85
Вологда	Вологда	Вологда	Вологда	1831	1	59.216667	39.9
Вологда	Вологда	Вологда	Вологда	1901	7	59.216667	39.9
Вологда. Тотьма	Вологда. Тотьма	Вологда	Вологда	1901	1	59.216667	39.9
Красная Поляна	Красная Поляна	Красная Поляна	Краснодар	1911	2	43.678611	40.205278
Грязовец	Грязовец	Грязовец	Вологда	1901	1	58.883333	40.25
Архангельск	Архангельск	Архангельск	Архангельск	1921	1	64.55	40.533333
Новый Афон	Новый Афон	Новый Афон	Абхазия	1931	1	43.083333	40.8
Сухуми	Сухуми	Сухуми	Абхазия	1821	1	43.0182037	40.9352613
Ильиновка. IN: Тамбовская область	Тамбовская область	Тамбовская область	Тамбов	1901	1	53.2510822	40.9645837
Ильиновка. IN: Тамбовская область	Тамбовская область	Тамбовская область	Тамбов	1891	8	53.2510822	40.9645837
Ильиновка. IN: Тамбовская область	Тамбовская область	Тамбовская область	Тамбов	1901	2	53.2510822	40.9645837
IN: Минское. Кострома, Костромская область	Княжнино	Княжнино	Кострома	1911	1	57.6948262	41.006496
Тамбов	Тамбов	Тамбов	Тамбов	1891	5	52.716667	41.433333
Тамбов	Тамбов	Тамбов	Тамбов	1901	5	52.716667	41.433333
Батуми	Батуми	Батуми	Грузия	1881	1	41.645833	41.641667
Батуми	Батуми	Батуми	Грузия	1921	3	41.645833	41.641667
озеро Баклан. IN: Ростовская область	Ростовская область	Ростовская область	Ростов-на-Дону	1921	1	47.5480011	42.0447777
Муром	Муром	Муром	Владимир	1831	1	55.5725	42.051389
Большой Карай. IN: Романовский район, Саратовская область	Большой Карай	Большой Карай	Саратов	1911	1	51.596307	42.673327
Кутаиси	Кутаиси	Кутаиси	Грузия	1931	1	42.25	42.7
Кисловодск	Кисловодск	Кисловодск	Ставрополь	1821	1	43.903333	42.724444
Кисловодск	Кисловодск	Кисловодск	Ставрополь	1891	1	43.903333	42.724444
Кисловодск	Кисловодск	Кисловодск	Ставрополь	1911	6	43.903333	42.724444
Кисловодск	Кисловодск	Кисловодск	Ставрополь	1921	3	43.903333	42.724444
Тотьма	Тотьма	Тотьма	Вологда	1901	1	59.983333	42.766667
Железноводск	Железноводск	Железноводск	Ставрополь	1911	1	44.133333	43.033333
Пятигорск	Пятигорск	Пятигорск	Ставрополь	1891	1	44.049966	43.060055
Пятигорск	Пятигорск	Пятигорск	Ставрополь	1911	1	44.049966	43.060055
Балашов	Балашов	Балашов	Саратов	1921	1	51.554657	43.146496
Боржоми	Боржоми	Боржоми	Грузия	1881	1	41.843148	43.384047
Грузия	Грузия	Грузия	Грузия	1921	2	42.016669	43.733331
Нижний Новгород	Нижний Новгород	Нижний Новгород	Нижний Новгород	1891	1	56.326944	44.0075
Эчмиадзин	Эчмиадзин	Эчмиадзин	Армения	1911	1	40.161769	44.291164
Кавказ	Кавказ	Кавказ	Армения	1891	1	40.153568	44.3481366
Семёнов. Петербург	Семёнов. Петербург	Семёнов	Нижний Новгород	1921	1	56.78944	44.49056
Ереван	Ереван	Ереван	Армения	1911	1	40.183333	44.516667
